# 五笔画词库，格式：词组\t编码\t权重
# 参考单手笔顺输入法码表: https://github.com/YQ-YSY/stroke-seq_MB 移除了部分不常用汉字
驧	121125444412212511235431234	0
驠	12112544441221251211354444	0
驑	1211254444122155125121	0
騲	1211254444122251112	0
驩	121125444412225125132411121	0
騋	121125444412343434	0
駷	12112544441251234	0
馷	12112544441252	0
驔	1211254444125221251112	0
騕	1211254444125221531	0
馶	12112544441254	0
馵	1211254444132	0
駵	12112544441321551	0
駄	12112544441344	0
駆	12112544441345	0
駹	12112544441353334	0
駀	12112544441354	0
駍	121125444414312	0
駏	12112544441515	0
驉	121125444421531522431	0
驜	12112544442243143111234	0
驆	12112544442511122112	0
馽	12112544442512	0
騦	1211254444251214544	0
駽	12112544442512511	0
驒	1211254444251251251112	0
駯	1211254444311234	0
騈	121125444431133112	0
騀	12112544443121534	0
騬	12112544443122113534	0
駇	12112544443134	0
馲	1211254444315	0
駈	121125444432121	0
駳	1211254444321554	0
騡	1211254444325112534	0
騩	1211254444325113554	0
驄	121125444432535414544	0
馸	12112544443312	0
騇	121125444434112251	0
験	121125444434125134	0
駣	1211254444341534	0
駗	121125444434333	0
駖	121125444434454	0
騐	121125444434454544	0
騣	1211254444345234354	0
騆	121125444435121251	0
駨	1211254444352511	0
颿	1211254444353251214	0
騘	1211254444353344544	0
駠	121125444435352	0
馰	1211254444354	0
馺	1211254444354	0
驐	1211254444412515213134	0
駮	1211254444413434	0
騿	121125444441431251112	0
騯	12112544444143454153	0
驣	12112544444311341211254444	0
駾	12112544444325135	0
駲	1211254444434242	0
騨	1211254444443251112	0
驞	121125444444512332511134	0
駺	12112544444511534	0
馿	12112544444513	0
馾	12112544444535	0
遤	1211254444454	0
駜	121125444445434	0
騢	1211254444512115154	0
駅	12112544445134	0
駋	121125444453251	0
騛	1211254444534335342	0
騽	121125444454154132511	0
騒	121125444454251214	0
馻	12112544445435	0
騥	1211254444545231234	0
驈	1211254444545232534251	0
振	1211311534	84
搙	1211311534124	0
堐	12113121121	5
堶	121131212511	0
堿	121131251534	0
撼	1211312515344544	17
搣	1211314334534	0
揻	121131531534	0
摵	12113211234534	0
墄	12113211234534	0
墆	12113221545252	0
摕	12113221545252	0
坏	1211324	615
抔	1211324	10
坯	12113241	24
抷	12113241	0
拓	12113251	30
坧	12113251	0
揼	121132512534	0
抪	12113252	0
拵	121132521	0
堧	121132522134	5
项	121132534	236
壥	12113254312114444121	0
攊	1211331234312342121	0
塬	1211332511234	10
扙	121134	0
捺	12113411234	30
垮	121134115	38
挎	121134115	16
摦	12113411533544	0
捹	12113412132	0
撦	12113412132511	0
埼	12113412512	5
掎	12113412512	5
掩	12113425115	84
埯	12113425115	10
撅	121134315233534	16
拻	121134334	0
埉	1211343434	0
摤	12113434343434	0
塽	12113434343434	0
撩	121134432511234	15
挞	121134454	10
垯	121134454	5
抠	1211345	30
𫭟	1211345	5
扤	121135	0
坜	1211353	5
拢	12113534	62
垅	12113534	0
扰	1211354	32
抜	1211354	0
挒	121135422	0
拔	12113544	138
坺	12113544	0
扼	1211355	30
城	121135534	592
墭	12113553425221	0
坪	12114312	30
抨	12114312	10
挟	121143134	11
摴	12114524444115	5
墵	121145244441154	0
壖	12114524444132522	0
擩	12114524444132522	0
擂	1211452444425121	30
攉	1211452444432411121	10
巧	12115	147
捷	12115112134	20
捿	12115112531	0
拒	1211515	59
挗	121151534	0
载	1211521534	144
捓	121152352	0
坉	1211525	5
扽	1211525	5
挠	121153135	30
找	1211534	1043
批	1211535	694
撍	121153515352511	0
揩	121153532511	12
堦	121153532511	0
垤	121154121	10
挃	121154121	0
捯	12115412122	10
臷	121154121534	0
坘	1211551	0
拣	12115534	84
瓨	1211554	0
挳	1211555121	0
正	12121	2678
圵	121211	0
排	12121112111	402
韯	121211121111534	0
靕	1212111212511	0
挊	121211124	0
垰	121211124	0
埱	12121123454	0
掓	12121123454	0
拤	12121124	10
頙	12121132511134	0
揹	121211352511	0
焉	12121154444	30
鄢	1212115444452	10
扯	1212121	88
址	1212121	24
埗	1212121233	5
捗	1212121233	0
掯	12121212511	0
坫	12121251	10
拈	12121251	10
掉	12121251112	471
揁	121212511134	0
塷	12121253444441	0
政	121213134	1844
鴊	1212132511154444	0
走	1212134	3176
赶	1212134112	681
趬	1212134121121121135	0
趌	1212134121251	0
趣	121213412211154	168
趞	121213412212511	0
趪	121213412212512134	0
趚	12121341251234	0
趰	121213413425234343434	0
趔	1212134135422	10
越	121213415534	958
趈	121213421251	0
趠	121213421251112	0
赻	12121342343	0
赴	121213424	12
趟	121213424325251	89
趄	121213425111	10
趧	1212134251112134	0
趩	121213425121122134	0
趗	12121342512134	0
趮	12121342512512511234	0
赸	1212134252	0
趎	1212134311234	0
趃	121213431134	0
趱	12121343121353121352534	10
趏	1212134312251	0
趫	1212134313425125251	0
趡	121213432411121	0
趭	1212134324111214444	0
赾	12121343312	0
赵	121213434	30
趛	121213434112431	0
趒	1212134341534	0
趁	121213434333	84
趖	12121343434121	0
赺	12121343445	0
趝	121213434454544	0
趓	1212134351234	0
赿	12121343515	0
趆	121213435154	0
趀	12121343523	0
趂	121213435234	0
赼	12121343534	0
赹	12121343541	0
趜	121213435431234	0
趍	1212134354354	0
趋	121213435511	21
趑	1212134413534	10
趦	1212134413534251	0
趇	121213441431	0
趥	1212134431253511	0
趤	121213444513251	0
趢	121213451124134	0
趘	12121345133115	0
赽	12121345134	0
起	1212134515	5632
赳	121213452	10
趉	121213452252	0
赲	121213453	0
超	121213453251	256
趐	1212134541541	0
趯	121213454154132411121	5
垆	12121513	10
壉	1212153151353334	0
墟	12121531522431	30
摣	12121531525111	0
攎	1212153152512125221	0
摢	12121531534312	0
摅	1212153154544	10
掳	12121531553	10
卋	121221	0
枽	1212211234	0
鼖	121221212514311254	0
桒	121221234	0
尭	12122135	0
歕	1212225111343534	0
翸	121222511134541541	0
贲	121222534	10
揽	121223142535	30
擈	1212243143111234	0
墣	121224314311134	5
抄	1212343	70
毮	12123433115	0
挘	121234353	0
扑	12124	140
圤	12124	0
盐	1212425221	70
垙	121243135	5
挄	121243135	0
捎	1212432511	19
埫	12124325251	5
摚	12124345251121	0
攩	12124345251254312114444	0
撑	121243452513112	42
挡	121243511	83
垱	121243511	10
扣	121251	62
吉	121251	13
抇	1212511	0
担	12125111	394
坦	12125111	77
坥	12125111	5
抯	12125111	0
捍	1212511112	17
垾	1212511112	5
埧	12125111134	0
捏	1212511121	74
埕	1212511121	10
挰	1212511121	0
提	121251112134	1557
堤	121251112134	55
撮	121251112211154	30
堁	12125111234	0
捰	12125111234	0
埘	1212511124	10
攫	12125111251113241112154	10
慐	12125111344544	0
垷	1212511135	0
挸	1212511135	0
掍	12125111535	0
堒	12125111535	0
捑	1212511154	0
押	12125112	35
坤	12125112	30
抻	12125112	10
埋	1212511211	90
捚	1212511211	0
喆	121251121251	5
嚞	121251121251121251	0
掴	12125112141	10
揖	121251122111	10
擑	121251122111534	0
博	121251124124	121
撋	121251125111121	0
墹	121251125112511	0
壛	1212511251135321511	0
堣	121251125214	0
塭	121251125221	0
揾	121251125221	0
墁	12125112522154	10
摱	12125112522154	0
捜	1212511254	0
颉	121251132534	10
擝	1212511351125221	0
