# 拼音词库，参考 https://gitee.com/hades001/rime-aurora-pinyin.git
# 以下为《通用规范汉字表》中的汉字
沃	wo	18
沦	lun	30
汹	xiong	30
泛	fan	144
沧	cang	30
没	mei	5589
没	mo	44
沟	gou	136
沪	hu	30
沈	chen	30
沈	shen	30
沉	chen	446
沁	qin	30
怀	huai	281
忧	you	23
忱	chen	12
快	kuai	1613
完	wan	1502
宋	song	30
宏	hong	31
牢	lao	62
究	jiu	1179
穷	qiong	214
灾	zai	110
良	liang	198
证	zheng	518
启	qi	60
评	ping	439
补	bu	141
初	chu	405
社	she	2459
祀	si	30
识	zhi	30
识	shi	1175
诈	zha	30
诉	su	595
罕	han	30
诊	zhen	32
词	ci	72
译	yi	70
君	jun	34
灵	ling	185
即	ji	511
层	ceng	488
屁	pi	48
尿	niao	16
尿	sui	30
尾	yi	30
尾	wei	169
迟	chi	107
局	ju	505
改	gai	1090
张	zhang	785
忌	ji	30
际	ji	706
陆	liu	30
陆	lu	202
阿	a	169
阿	e	30
陈	chen	24
阻	zu	157
附	fu	148
坠	zhui	13
妓	ji	30
妙	miao	81
妖	yao	30
姊	zi	10
妨	fang	35
妒	du	30
努	nu	251
忍	ren	189
劲	jin	294
劲	jing	30
矣	yi	30
鸡	ji	244
纬	wei	41
驱	qu	12
纯	chun	133
纱	sha	78
纲	gang	83
纳	na	21
驳	bo	26
纵	zong	43
纷	fen	148
纸	zhi	466
纹	wen	47
纺	fang	178
驴	lv	56
纽	niu	26
奉	feng	25
玩	wan	222
环	huan	291
武	wu	337
青	qing	828
责	ze	363
现	xian	3900
玫	mei	30
表	biao	1608
规	gui	752
抹	ma	10
抹	mo	50
卦	gua	30
坷	ke	30
坯	pi	24
拓	ta	30
拓	tuo	30
拢	long	62
拔	ba	138
坪	ping	30
拣	jian	84
坦	tan	77
担	dan	394
坤	kun	30
押	ya	35
抽	chou	244
拐	guai	24
拖	tuo	173
者	zhe	1454
拍	pai	222
顶	ding	445
拆	chai	43
拆	ca	30
拎	lin	30
拥	yong	122
抵	di	104
拘	ju	18
势	shi	452
抱	bao	293
拄	zhu	13
垃	la	38
拉	la	669
拦	lan	58
幸	xing	257
拌	ban	37
拧	ning	41
拂	fu	30
拙	zhuo	30
招	zhao	201
坡	po	103
披	pi	89
拨	bo	66
择	zhai	30
择	ze	71
抬	tai	305
拇	mu	11
拗	niu	30
拗	ao	30
其	ji	30
其	qi	1458
取	qu	916
茉	mo	30
苦	ku	645
昔	xi	30
苛	ke	30
若	ruo	182
茂	mao	29
苹	ping	77
苗	miao	71
英	ying	252
苟	gou	30
苑	yuan	30
苞	bao	30
范	fan	201
直	zhi	1294
茁	zhuo	9
茄	jia	10
茄	qie	30
茎	jing	15
苔	tai	30
茅	mao	17
枉	wang	26
林	lin	341
枝	zhi	246
杯	bei	122
枢	shu	15
柜	gui	102
柜	ju	30
枚	mei	15
析	xi	140
板	ban	430
松	song	184
枪	qiang	386
枫	feng	30
构	gou	317
杭	hang	30
杰	jie	25
述	shu	109
枕	zhen	34
丧	sang	22
或	huo	1133
画	hua	493
卧	wo	45
事	shi	3566
刺	ci	162
枣	zao	20
雨	yu	545
卖	mai	530
郁	yu	13
矾	fan	30
矿	kuang	264
码	ma	60
厕	ce	10
奈	nai	22
奔	ben	154
奇	ji	30
奇	qi	345
奋	fen	281
态	tai	381
欧	ou	16
殴	ou	30
垄	long	28
妻	qi	69
轰	hong	77
顷	qing	26
转	zhuan	934
斩	zhan	30
轮	lun	222
软	ruan	125
到	dao	10349
非	fei	688
叔	shu	368
歧	qi	30
肯	ken	280
齿	chi	80
些	xie	3689
卓	zhuo	30
虎	hu	190
虏	lu	31
肾	shen	30
贤	xian	30
尚	shang	84
旺	wang	27
具	ju	735
味	wei	281
果	guo	1655
昆	kun	72
国	guo	6416
哎	ai	302
咕	gu	14
昌	chang	30
呵	he	64
呵	a	392
畅	chang	18
明	ming	1983
易	yi	530
咙	long	26
昂	ang	44
迪	di	30
典	dian	98
固	gu	326
忠	zhong	27
呻	shen	13
咒	zhou	11
咋	zha	30
咋	za	17
咋	ze	30
咐	fu	72
呼	hu	485
鸣	ming	66
咏	yong	30
呢	ne	2307
呢	ni	21
咄	duo	30
咖	ga	30
咖	ka	9
岸	an	343
岩	yan	70
帖	tie	30
罗	luo	30
帜	zhi	51
帕	pa	13
岭	ling	70
凯	kai	30
败	bai	218
账	zhang	30
贩	fan	14
贬	bian	30
购	gou	41
贮	zhu	30
图	tu	491
