#	单字
斗	dsc
抖	dsd
篼	dse
蔸	dsea
豆	dsg
窦	dsh
蚪	dsj
痘	dsp
陡	dsq
读	dsr
兜	dsu
都	dsy
杜	dte
笃	dtea
椟	dteb
芏	dtec
度	dth
赌	dtj
蠹	dtja
黩	dtk
独	dtl
犊	dtla
妒	dtm
睹	dtma
毒	dtmb
督	dtmc
渡	dtn
渎	dtna
牍	dtp
堵	dtq
镀	dtqa
读	dtr
嘟	dtra
肚	dtt
顿	dtu
都	dty
髑	dtz
挡	dud
档	due
荡	duea
菪	dueb
宕	duh
当	dun
铛	duq
砀	duqa
谠	dur
裆	dus
党	duu
凼	duv
爹	dva
佚	dvab
跌	dvb
踮	dvba
蹀	dvbb
迭	dvbc
叠	dvd
揲	dvda
蝶	dvj
鲽	dvja
牒	dvp
碟	dvq
垤	dvqa
堞	dvqb
谍	dvr
喋	dvra
瓞	dvu
耋	dvz
铥	dxq
丢	dxv
大	dza
代	dzaa
傣	dzab
待	dzb
逮	dzba
迨	dzbb
贷	dzj
怠	dzk
黛	dzka
骀	dzl
岱	dzq
玳	dzqa
埭	dzqb
呆	dzr
呔	dzra
甙	dzrb
带	dzs
袋	dzsa
绐	dzsb
戴	dzx
歹	dzz
殆	dzza
匪	fdc
菲	fde
榧	fdea
篚	fdeb
芾	fdec
飞	fdf
非	fdfa
翡	fdfb
废	fdh
扉	fdha
费	fdj
鲱	fdja
蜚	fdjb
悱	fdk
狒	fdl
妃	fdm
沸	fdn
霏	fdna
淝	fdnb
痱	fdp
镄	fdq
吠	fdr
啡	fdra
诽	fdrb
绯	fds
肥	fdt
肺	fdta
腓	fdtb
斐	fdx
返	fjb
蹯	fjba
反	fjd
藩	fje
樊	fjea
蕃	fjeb
蘩	fjec
梵	fjed
范	fjee
翻	fjf
贩	fjj
烦	fjk
燔	fjka
犯	fjl
泛	fjn
凡	fjp
反	fjq
矾	fjqa
钒	fjqb
饭	fjr
繁	fjs
幡	fjsa
帆	fjsb
番	fjy
畈	fjya
份	foa
偾	foaa
奋	foab
俸	foac
逢	fob
封	fod
粉	foe
芬	foea
枫	foeb
粪	foec
棼	foed
葑	foee
酚	fog
蜂	foj
鲼	foja
忿	fok
烽	foka
焚	fokb
愤	fokc
鼢	fol
分	fon
汾	fona
瀵	fonb
沣	fonc
冯	fond
疯	fop
凤	fopa
峰	foq
锋	foqa
玢	foqb
坟	foqc
砜	foqd
讽	for
吩	fora
唪	forb
纷	fos
缝	fosa
丰	fov
奉	fova
风	fow
氛	fowa
酆	foy
伐	fqa
发	fqd
筏	fqe
阀	fqh
法	fqn
砝	fqq
珐	fqqa
垡	fqqb
罚	fqs
乏	fqv
缶	fsg
否	fsr
父	fta
伏	ftaa
俘	ftab
俯	ftac
傅	ftad
佛	ftae
艴	ftaf
付	ftag
复	ftb
赴	ftba
跗	ftbb
趺	ftbc
辅	ftc
辐	ftca
扶	ftd
孵	ftda
拂	ftdb
抚	ftdc
拊	ftdd
符	fte
茯	ftea
麸	fteb
芙	ftec
芾	fted
稃	ftee
莩	ftef
菔	fteg
桴	fteh
苻	ftei
覆	ftg
府	fth
富	ftha
负	ftj
蜉	ftja
蝠	ftjb
蚨	ftjc
蝮	ftjd
赋	ftje
赙	ftjf
鲋	ftjg
鳆	ftjh
怫	ftk
驸	ftl
